post_views_per_day,active_users_per_day,dummy1,dummy2
86,18,85,22
76,0,23,46
24,69,38,8
86,7,91,19
94,70,86,76
92,10,32,5
0,73,35,30
80,72,59,44
52,92,43,88
0,61,71,63
44,66,55,69
69,53,100,63
68,8,10,96
52,67,94,64
14,50,13,15
1,41,24,86
100,15,52,84
99,45,1,5
66,42,54,76
9,41,89,0
77,87,46,13
89,61,81,7
97,29,70,91
66,44,66,83
74,63,71,91
34,64,53,22
86,36,68,96
75,36,21,64
30,48,9,28
11,17,2,24
11,97,2,76
6,32,92,15
26,89,70,80
62,80,100,33
29,42,20,3
73,20,27,5
80,41,30,55
92,23,85,89
75,22,79,56
97,83,46,57
10,6,81,16
51,95,69,39
98,77,41,67
27,27,38,94
13,53,6,4
50,4,5,87
37,80,95,48
31,35,100,15
96,76,47,71
73,73,73,97
14,46,94,80
32,48,63,83
98,87,69,33
38,4,32,76
96,62,14,69
59,1,79,37
31,6,20,58
18,25,78,75
28,78,14,27
